cidade,cidade_sem_acento,uf,marca,macro_regional,sigla_regional,regional1,subregional,chave
DIADEMA,DIADEMA,SP,VIP,Sudeste 1,T3,São Paulo,T3.2,DIADEMA-SP-VIP
DIVINA PASTORA,DIVINA PASTORA,SE,MOB,Nordeste,T11,Sergipe,T11,DIVINA PASTORA-SE-MOB
DOURADOS,DOURADOS,MS,LIGUE,Sudeste 1,T2,Mato Grosso do Sul,T2,DOURADOS-MS-LIGUE
DOUTOR CAMARGO,DOUTOR CAMARGO,PR,LIGUE,Sudeste 1,T1,Paraná,T1,DOUTOR CAMARGO-PR-LIGUE
DUAS BARRAS,DUAS BARRAS,RJ,SUMICITY,Sudeste 2,T7,ES & Campos,T7.1,DUAS BARRAS-RJ-SUMICITY
ENGENHEIRO BELTRÃO,ENGENHEIRO BELTRAO,PR,LIGUE,Sudeste 1,T1,Paraná,T1,ENGENHEIRO BELTRAO-PR-LIGUE
EUSÉBIO,EUSEBIO,CE,MOB,Nordeste,T14,Fortaleza,T14.1 - Cascavel,EUSEBIO-CE-MOB
FARIAS BRITO,FARIAS BRITO,CE,MOB,Nordeste,T12,Juazeiro,T12,FARIAS BRITO-CE-MOB
FERRAZ DE VASCONCELOS,FERRAZ DE VASCONCELOS,SP,VIP,Sudeste 1,T3,São Paulo,T3.2,FERRAZ DE VASCONCELOS-SP-VIP
Ferreiros,FERREIROS,PE,MOB,Nordeste,R10,Pernambuco,R10 - Pernambuco,FERREIROS-PE-MOB
FLORES,FLORES,PE,MOB,Nordeste,T10,Pernambuco,T10,FLORES-PE-MOB
FORTALEZA,FORTALEZA,CE,MOB,Nordeste,T14,Fortaleza,T14.2 - Fortaleza,FORTALEZA-CE-MOB
FORTALEZA DE MINAS,FORTALEZA DE MINAS,MG,UNIVOX,Sudeste 2,T8,Minas Gerais,T8.1,FORTALEZA DE MINAS-MG-UNIVOX
FORTIM,FORTIM,CE,MOB,Nordeste,T14,Fortaleza,T14.1 - Cascavel,FORTIM-CE-MOB
FRANCA,FRANCA,SP,UNIVOX,Sudeste 2,T9,Brasília & Interior MG,T9.2,FRANCA-SP-UNIVOX
FRECHEIRINHA,FRECHEIRINHA,CE,MOB,Nordeste,T14,Fortaleza,T14.3 - Sobral,FRECHEIRINHA-CE-MOB
GOIANÁ,GOIANA,PE,MOB,Nordeste,T10,Pernambuco,T10,GOIANA-PE-MOB
GRAÇA,GRACA,CE,MOB,Nordeste,T14,Fortaleza,T14.3 - Sobral,GRACA-CE-MOB
GRANJA,GRANJA,CE,MOB,Nordeste,T14,Fortaleza,T14.3 - Sobral,GRANJA-CE-MOB
GUAPÉ,GUAPE,MG,UNIVOX,Sudeste 2,T8,Minas Gerais,T8.1,GUAPE-MG-UNIVOX
GUAPIMIRIM,GUAPIMIRIM,RJ,SUMICITY,Sudeste 2,T6,Serrana,T6.1,GUAPIMIRIM-RJ-SUMICITY
GUARÁ,GUARA,SP,CLICK,Sudeste 2,T9,Brasília & Interior MG,T9.2,GUARA-SP-CLICK
GUARANÉSIA,GUARANESIA,MG,UNIVOX,Sudeste 2,T8,Minas Gerais,T8.1,GUARANESIA-MG-UNIVOX
GUARAPARI,GUARAPARI,ES,SUMICITY,Sudeste 2,T7,ES & Campos,T7.2,GUARAPARI-ES-SUMICITY
GUARUJÁ,GUARUJA,SP,NIU FIBRA,Sudeste 1,T4,Litoral SP,T4.2,GUARUJA-SP-NIU FIBRA
GUARULHOS,GUARULHOS,SP,VIP,Sudeste 1,T3,São Paulo,T3.3,GUARULHOS-SP-VIP
GUAXUPÉ,GUAXUPE,MG,UNIVOX,Sudeste 2,T8,Minas Gerais,T8.1,GUAXUPE-MG-UNIVOX
Horizonte,HORIZONTE,CE,MOB,Nordeste,R14,Fortaleza,R14.1 - Cascavel,HORIZONTE-CE-MOB
IBIÁ,IBIA,MG,CLICK,Sudeste 2,T8,Minas Gerais,T8.2,IBIA-MG-CLICK
IBIAPINA,IBIAPINA,CE,MOB,Nordeste,T14,Fortaleza,T14.3 - Sobral,IBIAPINA-CE-MOB
ICÓ,ICO,CE,MOB,Nordeste,T12,Juazeiro,T12,ICO-CE-MOB
IGARAPAVA,IGARAPAVA,SP,CLICK,Sudeste 2,T9,Brasília & Interior MG,T9.2,IGARAPAVA-SP-CLICK
IGUABA GRANDE,IGUABA GRANDE,RJ,SUMICITY,Sudeste 2,T5,Lagos RJ,T5.1,IGUABA GRANDE-RJ-SUMICITY
IGUATU,IGUATU,CE,MOB,Nordeste,T12,Juazeiro,T12,IGUATU-CE-MOB
ILHA DE ITAMARACÁ,ILHA DE ITAMARACA,PE,MOB,Nordeste,T10,Pernambuco,T10,ILHA DE ITAMARACA-PE-MOB
ILHABELA,ILHABELA,SP,GIGA+,Sudeste 1,T4,Litoral SP,T4.4,ILHABELA-SP-GIGA+
ILICÍNEA,ILICINEA,MG,UNIVOX,Sudeste 2,T8,Minas Gerais,T8.1,ILICINEA-MG-UNIVOX
INDEPENDÊNCIA,INDEPENDENCIA,CE,MOB,Nordeste,T12,Juazeiro,T12,INDEPENDENCIA-CE-MOB
IPOJUCA,IPOJUCA,PE,MOB,Nordeste,T10,Pernambuco,T10,IPOJUCA-PE-MOB
IPUÃ,IPUA,SP,CLICK,Sudeste 2,T9,Brasília & Interior MG,T9.2,IPUA-SP-CLICK
ITAITINGA,ITAITINGA,CE,MOB,Nordeste,T14,Fortaleza,T14.2 - Fortaleza,ITAITINGA-CE-MOB
ITANHAÉM,ITANHAEM,SP,NIU FIBRA,Sudeste 1,T4,Litoral SP,T4.1,ITANHAEM-SP-NIU FIBRA
ITAOCARA,ITAOCARA,RJ,SUMICITY,Sudeste 2,T7,ES & Campos,T7.1,ITAOCARA-RJ-SUMICITY
ITAPEMIRIM,ITAPEMIRIM,ES,SUMICITY,Sudeste 2,T7,ES & Campos,T7.2,ITAPEMIRIM-ES-SUMICITY
ITAPERUNA,ITAPERUNA,RJ,SUMICITY,Sudeste 2,T7,ES & Campos,T7.1,ITAPERUNA-RJ-SUMICITY
ITAPIPOCA,ITAPIPOCA,CE,MOB,Nordeste,T14,Fortaleza,T14.3 - Sobral,ITAPIPOCA-CE-MOB
ITAPISSUMA,ITAPISSUMA,PE,MOB,Nordeste,T10,Pernambuco,T10,ITAPISSUMA-PE-MOB
ITAPORANGA D'AJUDA,ITAPORANGA D'AJUDA,SE,MOB,Nordeste,T11,Sergipe,T11,ITAPORANGA D AJUDA-SE-MOB
ITAQUAQUECETUBA,ITAQUAQUECETUBA,SP,VIP,Sudeste 1,T3,São Paulo,R3.2,ITAQUAQUECETUBA-SP-VIP
ITAREMA,ITAREMA,CE,MOB,Nordeste,T14,Fortaleza,T14.3 - Sobral,ITAREMA-CE-MOB
ITATIAIA,ITATIAIA,RJ,SUMICITY,Sudeste 2,T6,Serrana,T6.2,ITATIAIA-RJ-SUMICITY
